1|2025-10-09|P
2|2025-10-10|P
2|2025-10-10|P
1|2025-10-10|P
2|2025-10-10|P
3|2025-10-10|P
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
4|2025-10-11|P
5|2025-10-11|P
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
4|2025-10-11|P
5|2025-10-11|A
1|2025-10-11|A
2|2025-10-11|A
3|2025-10-11|A
4|2025-10-11|A
5|2025-10-11|A
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
4|2025-10-11|P
5|2025-10-11|P
6|2025-10-11|P
1|2025-10-11|P
2|2025-10-11|P
3|2025-10-11|P
4|2025-10-11|P
5|2025-10-11|P
6|2025-10-11|P
1|2025-10-13|P|cs
2|2025-10-13|P|cs
3|2025-10-13|A|cs
4|2025-10-13|P|cs
5|2025-10-13|A|cs
6|2025-10-13|A|cs
1|2025-10-13|A|
2|2025-10-13|A|
3|2025-10-13|A|
4|2025-10-13|A|
5|2025-10-13|A|
6|2025-10-13|A|
1|2026-01-02|P|
2|2026-01-02|P|
3|2026-01-02|P|
4|2026-01-02|A|
5|2026-01-02|A|
6|2026-01-02|P|
1|2026-01-02|P|cs
2|2026-01-02|P|cs
3|2026-01-02|A|cs
4|2026-01-02|P|cs
5|2026-01-02|A|cs
6|2026-01-02|P|cs
1|2026-01-02|P|
2|2026-01-02|P|
3|2026-01-02|P|
4|2026-01-02|P|
5|2026-01-02|P|
6|2026-01-02|P|
2|2026-01-02|P|
3|2026-01-02|P|
4|2026-01-02|P|
5|2026-01-02|A|
6|2026-01-02|A|
1|2026-01-02|A|
1|2026-01-02|P|
1|2026-01-02|P|
1|2026-01-02|P|cs
1|2026-01-02|P|
